City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Urrao,20,CO,1578442303,53,6.32,-76.13,75.2,16.11
Qaanaaq,15,GL,1578442303,81,77.48,-69.36,-25.51,1.07
Tuktoyaktuk,40,CA,1578442304,66,69.44,-133.03,-32.8,11.41
Bilibino,0,RU,1578442304,90,68.06,166.44,-27.85,3
Torbay,90,CA,1578442304,79,47.66,-52.73,24.01,5.82
Busselton,27,AU,1578442266,69,-33.64,115.35,72,1.01
Cidreira,2,BR,1578442295,72,-30.17,-50.22,75.06,11.14
Cap-aux-Meules,75,CA,1578442021,68,47.38,-61.86,24.8,16.11
Mar del Plata,66,AR,1578442305,20,-46.43,-67.52,66.22,32.61
Dunedin,75,NZ,1578442305,69,-45.87,170.5,53.1,5.08
Yellowknife,40,CA,1578442305,73,62.45,-114.38,-29,3.36
Nikolskoye,90,RU,1578442279,80,59.7,30.79,39.2,8.95
Bose,90,IT,1578442305,100,45.46,8.01,36,3.36
Alice Springs,91,AU,1578442026,29,-23.7,133.88,87.8,10.29
Dingle,100,PH,1578442306,90,11,122.67,76.1,9.62
Mahon,40,IE,1578442306,87,51.89,-8.4,48.99,9.17
Camabatela,100,AO,1578442306,97,-8.19,15.37,63.05,2.93
Poum,0,MK,1578442307,34,41.28,20.71,26.31,4.43
Chokurdakh,0,RU,1578442307,93,70.62,147.9,-26.07,5.75
Barrow,0,AR,1578442307,44,-38.31,-60.23,67.51,9.84
Butaritari,52,KI,1578442279,79,3.07,172.79,84.54,17.69
Victoria,75,BN,1578442025,88,5.28,115.24,80.6,4.7
Mataura,95,NZ,1578442308,57,-46.19,168.86,58.24,5.55
Ossora,100,RU,1578442308,82,59.24,163.07,22.75,11.5
Clyde River,40,CA,1578442308,55,70.47,-68.59,-22,4.38
Sitka,0,US,1578442309,32,37.17,-99.65,50,5.99
Baillif,21,GP,1578442309,78,16.02,-61.75,77,4.7
Kapaa,40,US,1578442162,61,22.08,-159.32,82.4,23.04
Esperance,40,AU,1578442310,88,-33.86,121.89,71.6,9.17
Chuy,0,UY,1578442310,61,-33.69,-53.46,65.97,7.92
Hobart,20,AU,1578442023,42,-42.88,147.33,79,6.93
Kaitangata,76,NZ,1578442310,58,-46.28,169.85,57.99,8.99
Medvezhyegorsk,100,RU,1578442310,97,62.92,34.47,35.1,9.82
Labuhan,100,ID,1578442311,77,-2.54,115.51,77.97,0.22
Albany,90,US,1578442226,63,42.65,-73.75,33.01,4.7
Zundert,90,NL,1578442311,93,51.47,4.66,48.99,17.22
Georgetown,75,GY,1578442279,83,6.8,-58.16,80.6,6.93
Saint George,40,GR,1578442286,66,39.45,22.34,37.99,6.93
Saldanha,54,PT,1578442312,75,41.42,-6.55,38.93,1.68
Caravelas,1,BR,1578442312,90,-17.73,-39.27,74.68,8.08
Dong Xoai,60,VN,1578442312,91,11.53,106.92,71.65,4.29
Vaini,1,IN,1578442312,87,15.34,74.49,63.64,2.59
Narsaq,77,GL,1578442312,78,60.91,-46.05,10.4,2.24
Araouane,81,ML,1578442313,15,18.9,-3.53,60.71,8.1
Provideniya,0,RU,1578442301,91,64.42,-173.23,-11.51,1.43
Bethanien,0,NA,1578442313,41,-26.5,17.16,68.54,3.78
Ponta do Sol,99,BR,1578442313,93,-20.63,-46,70.57,5.1
Balad,92,ID,1578442314,89,-6.76,108.42,74.39,1.41
Kopervik,100,NO,1578442314,87,59.28,5.31,50,31.09
Merauke,100,ID,1578442314,69,-8.49,140.4,85.41,8.66
Calama,0,CL,1578442314,28,-22.46,-68.93,68,24.16
Arona,29,IT,1578442314,100,45.76,8.56,36,2.24
Saint-Philippe,90,CA,1578442267,73,45.36,-73.48,27,3.36
Mahebourg,75,MU,1578442269,88,-20.41,57.7,78.8,2.93
Colimes,75,EC,1578442315,65,-1.55,-80.01,82.4,4.7
Bredasdorp,0,ZA,1578442315,88,-34.53,20.04,68,3.36
Airai,49,TL,1578442315,57,-8.93,125.41,77.47,1.74
Rikitea,11,PF,1578442316,77,-23.12,-134.97,77.67,18.86
Upernavik,100,GL,1578442316,72,72.79,-56.15,-14.17,4.5
Carnarvon,100,ZA,1578442271,81,-30.97,22.13,66.16,12.71
Olhao,0,PT,1578442317,87,37.03,-7.84,54,6.93
Nagato,75,JP,1578442317,76,34.35,131.14,53.6,26.4
Abu Dhabi,0,AE,1578442103,82,24.47,54.37,64.4,5.75
Kodiak,1,US,1578442317,48,39.95,-94.76,48.2,9.17
Teguise,20,ES,1578442318,77,29.06,-13.56,60.8,12.75
Thompson,75,CA,1578442318,75,55.74,-97.86,-13,5.82
New Norfolk,20,AU,1578442318,42,-42.78,147.06,81,6.93
Hermanus,0,ZA,1578442318,94,-34.42,19.24,66.99,8.01
Medea,75,DZ,1578442318,87,36.27,2.77,51.8,1.12
Sao Joao da Barra,85,BR,1578442319,88,-21.64,-41.05,78.44,17.56
Atuona,9,PF,1578442319,78,-9.8,-139.03,80.89,14.27
Elizabeth City,90,US,1578442021,81,36.3,-76.22,46.99,16.11
Nong Kung Si,19,TH,1578442319,82,16.65,103.3,68,2.24
Antofagasta,20,CL,1578442041,73,-23.65,-70.4,71.6,11.41
Jamestown,0,AU,1578442320,22,-33.21,138.6,81.64,14.54
Baghmara,62,IN,1578442320,61,23.8,86.21,57.18,1.68
Geraldton,75,CA,1578442320,71,49.72,-86.95,5,8.05
Severo-Kurilsk,59,RU,1578442321,90,50.68,156.12,21.56,13.15
Omboue,99,GA,1578442321,94,-1.57,9.26,76.17,2.66
Ushuaia,75,AR,1578442321,87,-54.81,-68.31,51.8,5.82
Kawhia,63,NZ,1578442321,49,-38.07,174.82,71.01,1.99
Fortuna,90,US,1578442321,100,40.6,-124.16,52,5.82
Bonavista,90,CA,1578442322,83,48.65,-53.11,21.99,9.48
Hilo,75,US,1578442322,48,19.71,-155.08,86,16.11
Ancud,90,CL,1578442322,81,-41.87,-73.83,53.6,6.93
Abbeville,90,FR,1578442322,93,50.11,1.83,53.6,13.87
Tessalit,52,ML,1578442322,16,20.2,1.01,60.66,17.69
Khatanga,94,RU,1578442323,95,71.98,102.47,5.2,9.53
